A,N,x,y,x1,y1,x2,y2,x3,y3,x4,y4
1,2,16.7380009,18.6959991,17.6599998,18.7119999,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
1,2,14.4619999,18.6550007,16.7380009,18.6959991,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
1,2,12.7938805,18.6161308,14.4619999,18.6550007,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
1,2,11.5998764,18.5883083,12.7938805,18.6161308,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
1,2,10.9719610,18.5736771,11.5998764,18.5883083,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
1,2,10.7959166,18.5695744,10.9719610,18.5736771,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
1,2,8.5330000,18.5240002,10.7959166,18.5695744,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
1,2,7.3639998,18.4990005,8.5330000,18.5240002,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
1,2,6.7030001,18.4850006,7.3639998,18.4990005,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
1,2,6.4789462,18.4790497,6.7030001,18.4850006,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
1,2,4.9920001,18.4410000,6.4789462,18.4790497,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
1,2,3.3900001,18.3969994,4.9920001,18.4410000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
16,2,9.6827154,18.2092381,10.7959166,18.5695744,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
1,3,17.6599998,18.7119999,19.4839993,18.7250004,19.5030003,18.1189995,0.0000000,0.0000000,0.0000000,0.0000000
11,2,8.6569996,18.0890007,8.5330000,18.5240002,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
2,2,5.0978222,18.0533352,6.4789462,18.4790497,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
6,2,4.9920001,18.4410000,5.0978222,18.0533352,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
16,2,8.7724485,17.9145889,9.6827154,18.2092381,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
13,2,8.7724485,17.9145889,8.6569996,18.0890007,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
23,3,17.4473476,17.9006481,18.7360001,18.0639992,19.5030003,18.1189995,0.0000000,0.0000000,0.0000000,0.0000000
26,3,17.4473476,17.9006481,17.5179996,18.4389992,17.6599998,18.7119999,0.0000000,0.0000000,0.0000000,0.0000000
23,2,17.1739998,17.8659992,17.4473476,17.9006481,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
25,2,17.1739998,17.8659992,16.7380009,18.6959991,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
11,3,7.9260001,17.6700001,7.8820000,17.8500004,8.6569996,18.0890007,0.0000000,0.0000000,0.0000000,0.0000000
23,2,16.1129227,17.6454010,17.1739998,17.8659992,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
24,5,16.1129227,17.6454010,15.8950005,18.3330002,15.5070000,18.2420006,15.3870001,18.3390007,15.3170004,18.5170002
2,2,3.7330000,17.6210003,5.0978222,18.0533352,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
7,2,7.6246362,17.5824795,7.9260001,17.6700001,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
8,2,7.3639998,18.4990005,7.6246362,17.5824795,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
2,2,3.4059660,17.5355129,3.7330000,17.6210003,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
1,2,3.4059660,17.5355129,3.3900001,18.3969994,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
23,2,15.6000004,17.5249996,16.1129227,17.6454010,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
10,2,14.9702625,17.4152355,15.6000004,17.5249996,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
22,2,14.9702625,17.4152355,14.4619999,18.6550007,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
7,2,6.9940100,17.3993397,7.6246362,17.5824795,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
9,2,6.9940100,17.3993397,6.7030001,18.4850006,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
1,2,19.5030003,18.1189995,19.5272503,17.2641487,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
10,3,14.1594124,17.2620544,14.7830000,17.3820000,14.9702625,17.4152355,0.0000000,0.0000000,0.0000000,0.0000000
13,3,8.8240004,17.1959991,8.8760004,17.3260002,8.7724485,17.9145889,0.0000000,0.0000000,0.0000000,0.0000000
28,2,19.3530006,17.1840000,19.5272503,17.2641487,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
28,3,18.5079994,17.3279991,19.1840000,17.5620003,19.3530006,17.1840000,0.0000000,0.0000000,0.0000000,0.0000000
